id,objectType,actor,verb,postedTime,generator,provider,link,body,object,favoritesCount,twitter_entities,twitter_filter_level,retweetCount,info,location,inReplyTo
"tag:search.twitter.com,2005:646453269552885760",activity,object,post,2015-09-22T22:37:24.000Z,object,object,http://twitter.com/ParkwayVW/statuses/646453269552885760,#VW has never looked so good! http://t.co/BLyYSy4DMO,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453283280678912",activity,object,share,2015-09-22T22:37:27.000Z,object,object,http://twitter.com/jbwew2016/statuses/646453283280678912,RT @Drudge_Report_: #Volkswagen: millions of #gas cars could be affected #vw http://t.co/MHjnBmGCYO,object,0,object,low,5,-,-,-
"tag:search.twitter.com,2005:646453294668234753",activity,object,post,2015-09-22T22:37:30.000Z,object,object,http://twitter.com/NottJeff/statuses/646453294668234753,But he will not be hurting! VW CEO's days appear numbered as emissions crisis deepens http://t.co/O2Lz1EssNb,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453221439893504",activity,object,post,2015-09-22T22:37:13.000Z,object,object,http://twitter.com/sgre144/statuses/646453221439893504,@MartinHajovsky @cltomlinson @HoustonChron about $700/count or at least that's what VW has put aside.,object,0,object,low,0,-,-,object
"tag:search.twitter.com,2005:646453228918280193",activity,object,post,2015-09-22T22:37:14.000Z,object,object,http://twitter.com/GlennF/statuses/646453228918280193,"@jlgolson I’m totally staggered by this. Not b/c VW, which I don’t know as a company. Just this scale of deception.",object,0,object,low,0,-,-,object
"tag:search.twitter.com,2005:646453645807104000",activity,object,post,2015-09-22T22:38:54.000Z,object,object,http://twitter.com/DFWTechNews/statuses/646453645807104000,The Uncontrolled Implosion at VW http://t.co/jQ3SYUCtQ3,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453655848267776",activity,object,share,2015-09-22T22:38:56.000Z,object,object,http://twitter.com/evanrapp/statuses/646453655848267776,RT @AlbertBrooks: Shocked at what VW did. Their heritage is so pure.,object,0,object,low,171,-,-,-
"tag:search.twitter.com,2005:646453563820916737",activity,object,post,2015-09-22T22:38:34.000Z,object,object,http://twitter.com/0l1l2/statuses/646453563820916737,Volkswagen Says 11 Million Cars Worldwide Are Affected in Diesel Deception | 47 http://t.co/lEBm7afLqH http://t.co/oONAAEi8lI,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453599040630784",activity,object,share,2015-09-22T22:38:43.000Z,object,object,http://twitter.com/JoeyGay/statuses/646453599040630784,"RT @thedryshaveshow: ""Fucking Germans,nothing ever changes!"" #Volkswagen http://t.co/XjZ8bCijeH",object,0,object,low,6,-,-,-
"tag:search.twitter.com,2005:646453510020706304",activity,object,share,2015-09-22T22:38:21.000Z,object,object,http://twitter.com/wbznewsradio/statuses/646453510020706304,RT @CBSEveningNews: .@Volkswagen CEO: “We’ve totally screwed up.” @krisvancleave has the latest on the emissions test rigging scandal http:…,object,0,object,low,1,-,-,-
"tag:search.twitter.com,2005:646453537610838016",activity,object,post,2015-09-22T22:38:28.000Z,object,object,http://twitter.com/NBCNightlyNews/statuses/646453537610838016,Volkswagen under investigation for hidden software inside cars to get around the law. @PeteWilliamsNBC reports now http://t.co/QjFWmx6sgH,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453537451315200",activity,object,post,2015-09-22T22:38:28.000Z,object,object,http://twitter.com/mark_0/statuses/646453537451315200,"“@BBCNewsnight: Prof David Bailey tells Newsnight the #VW scandal will ""probably kill off the diesel market in the United States."" &lt;- And VW",object,0,object,low,0,-,-,object
"tag:search.twitter.com,2005:646453421264900097",activity,object,post,2015-09-22T22:38:00.000Z,object,object,http://twitter.com/svetik18us/statuses/646453421264900097,What Volkswagen Means To The German Economy http://t.co/3QZcbiV0fj #business #vw #Volkswagen,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453428550397952",activity,object,post,2015-09-22T22:38:02.000Z,object,object,http://twitter.com/Mrminjares/statuses/646453428550397952,Kudos to a great @theicct team who did the amazing work on VW diesels. This story captures it well http://t.co/J75EUsybzO,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453437551407105",activity,object,share,2015-09-22T22:38:04.000Z,object,object,http://twitter.com/FUNNAGAN/statuses/646453437551407105,"RT @LATimesFreshInk: Volkswagen emissions scandal expands to 11 million vehicles worldwide, threatens VW's market value / dominance: http:/…",object,0,object,low,3,-,-,-
"tag:search.twitter.com,2005:646453448318173184",activity,object,post,2015-09-22T22:38:07.000Z,object,object,http://twitter.com/GuRadcliffe/statuses/646453448318173184,"Volkswagen CEO Apologizes (Again): ""We Will Get To The Bottom Of This"" http://t.co/RoyTFAH3cz",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453461408706561",activity,object,post,2015-09-22T22:38:10.000Z,object,object,http://twitter.com/CBSEveningNews/statuses/646453461408706561,.@Volkswagen CEO: “We’ve totally screwed up.” @krisvancleave has the latest on the emissions test rigging scandal http://t.co/cgFUHXmqMZ,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453460796248065",activity,object,post,2015-09-22T22:38:10.000Z,object,object,http://twitter.com/HighSierraMan/statuses/646453460796248065,This picture of a reporter trying to get an answer out of top VW exec Thomas Eichhorst says it all: No remorse. http://t.co/v9ZWUJ5SaR,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453467582611456",activity,object,post,2015-09-22T22:38:11.000Z,object,object,http://twitter.com/WorldNewsByRon/statuses/646453467582611456,"How U.S. lawyers were so quick off the mark to sue Volkswagen: NEW YORK, Sept 22 (Reuters) - Les... http://t.co/lmz4dRCDZ2 (By @Reuters)",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453468417290240",activity,object,post,2015-09-22T22:38:12.000Z,object,object,http://twitter.com/WorldNewsByRon/statuses/646453468417290240,"RPT-How U.S. lawyers were so quick off the mark to sue Volkswagen: NEW YORK, Sept 22 (Reuters) -... http://t.co/uTjcon8VWy (By @Reuters)",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453469402959876",activity,object,post,2015-09-22T22:38:12.000Z,object,object,http://twitter.com/WorldNewsByRon/statuses/646453469402959876,"Diesel cars loiter in lots as VW dealers, owners sit and wait: OAKLAND, California, Sept 22 (Reu... http://t.co/BVPwkkgH5V (By @Reuters)",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646453475405078529",activity,object,post,2015-09-22T22:38:13.000Z,object,object,http://twitter.com/Flyerno1/statuses/646453475405078529,Very early trend update. http://t.co/V4hK87KZeG,object,0,object,low,0,-,-,-
